participant_id,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,TOTAL,pre_total
P092,1,0,0,0,1,1,1,1,1,0,6,6
P093,0,1,1,1,1,0,0,0,0,1,5,5
P094,0,0,0,1,1,0,0,0,1,0,3,3
P095,1,0,0,0,0,0,0,0,0,1,2,2
P096,0,0,0,0,1,0,0,0,1,1,3,3
P097,0,0,0,1,0,1,0,1,1,1,5,5
P098,1,1,1,0,1,0,0,1,1,1,7,7
P099,1,1,0,1,0,1,0,1,1,1,7,7
P100,1,0,1,1,0,0,0,0,1,1,5,5
P101,1,1,1,1,0,1,1,0,1,1,8,8
P102,1,0,1,0,0,0,1,0,0,1,4,4
P103,1,1,1,0,1,0,0,1,1,1,7,7
P104,0,0,1,0,0,1,1,1,0,1,5,5
P105,0,0,1,1,0,0,0,1,1,1,5,5
P106,1,0,0,0,0,0,0,1,1,1,4,4
P107,1,1,1,0,0,0,0,1,1,1,6,6
P108,0,0,1,0,1,0,0,1,1,0,4,4
P109,1,0,0,0,0,1,1,0,0,1,4,4
P110,1,1,0,0,1,0,0,0,1,1,5,5
P111,1,0,0,1,0,1,1,1,1,1,7,7
P112,1,1,0,0,1,1,0,0,1,1,6,6
P113,1,1,1,1,1,0,0,0,1,1,7,7
P114,0,0,1,0,0,1,0,1,0,0,3,3
P115,0,0,0,1,0,0,1,1,1,1,5,5
P116,1,1,0,1,0,1,1,1,0,1,7,7
P117,1,1,0,1,0,1,0,1,1,1,7,7
P118,1,1,0,0,0,0,1,1,1,1,6,6
P119,0,1,0,1,0,0,0,1,0,1,4,4
P120,0,1,0,1,0,0,0,1,1,1,5,5
P121,0,0,0,1,1,0,0,0,0,1,3,3
P122,1,1,0,0,1,0,0,0,0,0,3,3
P123,0,1,0,0,1,1,1,1,1,1,7,7
P124,0,0,1,0,1,0,0,1,1,1,5,5
P125,1,0,0,1,0,0,0,0,1,1,4,4
P126,1,1,0,0,0,0,1,0,1,1,5,5
P127,0,0,1,1,0,1,0,0,0,0,3,3
P128,0,0,0,1,0,0,1,0,1,1,4,4
P129,0,0,0,1,0,1,0,0,1,1,4,4
P130,1,1,1,0,0,1,0,0,1,1,6,6
P131,0,0,0,0,0,0,0,0,1,1,2,2
P132,1,1,0,1,0,1,1,0,1,1,7,7
P133,0,0,1,1,0,0,0,0,0,1,3,3
P134,0,1,0,1,0,0,1,0,1,1,5,5
P135,1,1,0,1,0,1,1,1,0,1,7,7
P136,0,0,1,0,0,0,0,0,1,1,3,3
P137,1,0,0,0,0,1,0,1,1,1,5,5
P138,0,1,0,1,1,1,0,1,1,1,7,7
P139,0,0,1,0,0,0,0,1,1,0,3,3
P140,0,1,1,0,1,0,1,1,0,1,6,6
P141,0,0,1,1,1,0,1,1,1,1,7,7
P142,0,1,0,0,0,1,0,0,1,1,4,4
P143,1,0,1,1,0,0,1,0,1,1,6,6
P144,1,1,0,0,0,0,1,0,1,1,5,5
P145,1,0,1,0,1,1,0,1,0,1,6,6
P146,0,1,0,1,0,1,0,0,1,1,5,5
P147,1,1,0,1,1,1,1,1,1,1,9,9
P148,0,1,1,1,0,0,0,1,1,1,6,6
P149,0,0,1,0,0,1,0,0,1,1,4,4
P150,0,1,1,1,0,0,0,0,1,0,4,4
